themename,themepercent,themenamecodename,code,snname,sncode
Global food crisis response,100,Global food crisis response,91,Crops,AH
Global food crisis response,100,Global food crisis response,91,Animal production,AJ
Natural disaster management,50,Natural disaster management,52,"Public administration- Water, sanitation and flood protection",BW
Natural disaster management,50,Natural disaster management,52,Crops,AH
Natural disaster management,50,Natural disaster management,52,Water supply,WC
Natural disaster management,50,Natural disaster management,52,Flood protection,WD
Natural disaster management,50,Natural disaster management,52,Animal production,AJ
Natural disaster management,50,Climate change,81,"Public administration- Water, sanitation and flood protection",BW
Natural disaster management,50,Climate change,81,Crops,AH
Natural disaster management,50,Climate change,81,Water supply,WC
Natural disaster management,50,Climate change,81,Flood protection,WD
Natural disaster management,50,Climate change,81,Animal production,AJ
Education for the knowledge economy,96,Education for the knowledge economy,66,Tertiary education,ET
Education for the knowledge economy,96,Education for the knowledge economy,66,Public administration- Education,BN
Education for the knowledge economy,96,Education for the knowledge economy,66,General public administration sector,BZ
Education for the knowledge economy,96,Administrative and civil service reform,25,Tertiary education,ET
Education for the knowledge economy,96,Administrative and civil service reform,25,Public administration- Education,BN
Education for the knowledge economy,96,Administrative and civil service reform,25,General public administration sector,BZ
Improving labor markets,12,Improving labor markets,51,Public administration- Industry and trade,BT
Improving labor markets,12,Improving labor markets,51,General industry and trade sector,YZ
Improving labor markets,12,Improving labor markets,51,Other industry,YW
Improving labor markets,12,Export development and competitiveness,45,Public administration- Industry and trade,BT
Improving labor markets,12,Export development and competitiveness,45,General industry and trade sector,YZ
Improving labor markets,12,Export development and competitiveness,45,Other industry,YW
Improving labor markets,12,Trade facilitation and market access,49,Public administration- Industry and trade,BT
Improving labor markets,12,Trade facilitation and market access,49,General industry and trade sector,YZ
Improving labor markets,12,Trade facilitation and market access,49,Other industry,YW
Improving labor markets,12,Regional integration,47,Public administration- Industry and trade,BT
Improving labor markets,12,Regional integration,47,General industry and trade sector,YZ
Improving labor markets,12,Regional integration,47,Other industry,YW
Participation and civic engagement,40,Participation and civic engagement,57,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,40,Participation and civic engagement,57,Irrigation and drainage,AI
Participation and civic engagement,40,Participation and civic engagement,57,Sub-national government administration,BH
Participation and civic engagement,40,Participation and civic engagement,57,Other social services,JB
Participation and civic engagement,40,Rural services and infrastructure,78,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,40,Rural services and infrastructure,78,Irrigation and drainage,AI
Participation and civic engagement,40,Rural services and infrastructure,78,Sub-national government administration,BH
Participation and civic engagement,40,Rural services and infrastructure,78,Other social services,JB
Participation and civic engagement,40,Conflict prevention and post-conflict reconstruction,58,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,40,Conflict prevention and post-conflict reconstruction,58,Irrigation and drainage,AI
Participation and civic engagement,40,Conflict prevention and post-conflict reconstruction,58,Sub-national government administration,BH
Participation and civic engagement,40,Conflict prevention and post-conflict reconstruction,58,Other social services,JB
Participation and civic engagement,40,Other rural development,79,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,40,Other rural development,79,Irrigation and drainage,AI
Participation and civic engagement,40,Other rural development,79,Sub-national government administration,BH
Participation and civic engagement,40,Other rural development,79,Other social services,JB
Other social development,2,Other social development,62,Irrigation and drainage,AI
Other social development,2,Other social development,62,Flood protection,WD
Other social development,2,Other social development,62,"Public administration- Water, sanitation and flood protection",BW
Other social development,2,Other social development,62,"Public administration- Agriculture, fishing and forestry",BL
Other social development,2,Other social development,62,Other social services,JB
Other social development,2,Water resource management,85,Irrigation and drainage,AI
Other social development,2,Water resource management,85,Flood protection,WD
Other social development,2,Water resource management,85,"Public administration- Water, sanitation and flood protection",BW
Other social development,2,Water resource management,85,"Public administration- Agriculture, fishing and forestry",BL
Other social development,2,Water resource management,85,Other social services,JB
Other social development,2,Rural services and infrastructure,78,Irrigation and drainage,AI
Other social development,2,Rural services and infrastructure,78,Flood protection,WD
Other social development,2,Rural services and infrastructure,78,"Public administration- Water, sanitation and flood protection",BW
Other social development,2,Rural services and infrastructure,78,"Public administration- Agriculture, fishing and forestry",BL
Other social development,2,Rural services and infrastructure,78,Other social services,JB
Natural disaster management,12,Natural disaster management,52,Central government administration,BC
Natural disaster management,12,Natural disaster management,52,Irrigation and drainage,AI
Natural disaster management,12,Natural disaster management,52,Transmission and Distribution of Electricity,LT
Natural disaster management,12,Other accountability/anti-corruption,29,Central government administration,BC
Natural disaster management,12,Other accountability/anti-corruption,29,Irrigation and drainage,AI
Natural disaster management,12,Other accountability/anti-corruption,29,Transmission and Distribution of Electricity,LT
Natural disaster management,12,"Public expenditure, financial management and procurement",27,Central government administration,BC
Natural disaster management,12,"Public expenditure, financial management and procurement",27,Irrigation and drainage,AI
Natural disaster management,12,"Public expenditure, financial management and procurement",27,Transmission and Distribution of Electricity,LT
Natural disaster management,12,Other public sector governance,30,Central government administration,BC
Natural disaster management,12,Other public sector governance,30,Irrigation and drainage,AI
Natural disaster management,12,Other public sector governance,30,Transmission and Distribution of Electricity,LT
Natural disaster management,12,Administrative and civil service reform,25,Central government administration,BC
Natural disaster management,12,Administrative and civil service reform,25,Irrigation and drainage,AI
Natural disaster management,12,Administrative and civil service reform,25,Transmission and Distribution of Electricity,LT
Export development and competitiveness,33,Export development and competitiveness,45,General industry and trade sector,YZ
Export development and competitiveness,33,Export development and competitiveness,45,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,33,Export development and competitiveness,45,Other social services,JB
Export development and competitiveness,33,Export development and competitiveness,45,Central government administration,BC
Export development and competitiveness,33,Export development and competitiveness,45,General transportation sector,TZ
Export development and competitiveness,33,Trade facilitation and market access,49,General industry and trade sector,YZ
Export development and competitiveness,33,Trade facilitation and market access,49,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,33,Trade facilitation and market access,49,Other social services,JB
Export development and competitiveness,33,Trade facilitation and market access,49,Central government administration,BC
Export development and competitiveness,33,Trade facilitation and market access,49,General transportation sector,TZ
Export development and competitiveness,33,Regulation and competition policy,40,General industry and trade sector,YZ
Export development and competitiveness,33,Regulation and competition policy,40,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,33,Regulation and competition policy,40,Other social services,JB
Export development and competitiveness,33,Regulation and competition policy,40,Central government administration,BC
Export development and competitiveness,33,Regulation and competition policy,40,General transportation sector,TZ
Export development and competitiveness,33,Other rural development,79,General industry and trade sector,YZ
Export development and competitiveness,33,Other rural development,79,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,33,Other rural development,79,Other social services,JB
Export development and competitiveness,33,Other rural development,79,Central government administration,BC
Export development and competitiveness,33,Other rural development,79,General transportation sector,TZ
Export development and competitiveness,33,Improving labor markets,51,General industry and trade sector,YZ
Export development and competitiveness,33,Improving labor markets,51,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,33,Improving labor markets,51,Other social services,JB
Export development and competitiveness,33,Improving labor markets,51,Central government administration,BC
Export development and competitiveness,33,Improving labor markets,51,General transportation sector,TZ
Child health,17,Child health,63,Health,JA
Child health,17,Child health,63,Primary education,EP
Child health,17,Population and reproductive health,69,Health,JA
Child health,17,Population and reproductive health,69,Primary education,EP
Child health,17,Health system performance,67,Health,JA
Child health,17,Health system performance,67,Primary education,EP
Child health,17,Nutrition and food security,68,Health,JA
Child health,17,Nutrition and food security,68,Primary education,EP
Child health,17,Education for all,65,Health,JA
Child health,17,Education for all,65,Primary education,EP
Social safety nets,11,Social safety nets,54,Rural and Inter-Urban Roads and Highways,TI
Social safety nets,11,Social safety nets,54,Irrigation and drainage,AI
Social safety nets,11,Social safety nets,54,Other social services,JB
Social safety nets,11,Social safety nets,54,"General water, sanitation and flood protection sector",WZ
Social safety nets,11,Social safety nets,54,General education sector,EZ
Social safety nets,11,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Social safety nets,11,Rural services and infrastructure,78,Irrigation and drainage,AI
Social safety nets,11,Rural services and infrastructure,78,Other social services,JB
Social safety nets,11,Rural services and infrastructure,78,"General water, sanitation and flood protection sector",WZ
Social safety nets,11,Rural services and infrastructure,78,General education sector,EZ
Social safety nets,11,Natural disaster management,52,Rural and Inter-Urban Roads and Highways,TI
Social safety nets,11,Natural disaster management,52,Irrigation and drainage,AI
Social safety nets,11,Natural disaster management,52,Other social services,JB
Social safety nets,11,Natural disaster management,52,"General water, sanitation and flood protection sector",WZ
Social safety nets,11,Natural disaster management,52,General education sector,EZ
Social safety nets,11,Social risk mitigation,87,Rural and Inter-Urban Roads and Highways,TI
Social safety nets,11,Social risk mitigation,87,Irrigation and drainage,AI
Social safety nets,11,Social risk mitigation,87,Other social services,JB
Social safety nets,11,Social risk mitigation,87,"General water, sanitation and flood protection sector",WZ
Social safety nets,11,Social risk mitigation,87,General education sector,EZ
Social safety nets,11,Other rural development,79,Rural and Inter-Urban Roads and Highways,TI
Social safety nets,11,Other rural development,79,Irrigation and drainage,AI
Social safety nets,11,Other rural development,79,Other social services,JB
Social safety nets,11,Other rural development,79,"General water, sanitation and flood protection sector",WZ
Social safety nets,11,Other rural development,79,General education sector,EZ
Social safety nets,19,Social safety nets,54,Irrigation and drainage,AI
Social safety nets,19,Social safety nets,54,"Public administration- Water, sanitation and flood protection",BW
Social safety nets,19,Rural policies and institutions,77,Irrigation and drainage,AI
Social safety nets,19,Rural policies and institutions,77,"Public administration- Water, sanitation and flood protection",BW
Social safety nets,19,Water resource management,85,Irrigation and drainage,AI
Social safety nets,19,Water resource management,85,"Public administration- Water, sanitation and flood protection",BW
Social safety nets,19,Other rural development,79,Irrigation and drainage,AI
Social safety nets,19,Other rural development,79,"Public administration- Water, sanitation and flood protection",BW
Social safety nets,19,Rural services and infrastructure,78,Irrigation and drainage,AI
Social safety nets,19,Rural services and infrastructure,78,"Public administration- Water, sanitation and flood protection",BW
Infrastructure services for private sector development,24,Infrastructure services for private sector development,39,Water supply,WC
Infrastructure services for private sector development,24,Infrastructure services for private sector development,39,Wastewater Treatment and Disposal,WV
Infrastructure services for private sector development,24,Infrastructure services for private sector development,39,"Public administration- Water, sanitation and flood protection",BW
Infrastructure services for private sector development,24,Urban services and housing for the poor,71,Water supply,WC
Infrastructure services for private sector development,24,Urban services and housing for the poor,71,Wastewater Treatment and Disposal,WV
Infrastructure services for private sector development,24,Urban services and housing for the poor,71,"Public administration- Water, sanitation and flood protection",BW
Biodiversity,24,Biodiversity,80,Other industry,YW
Biodiversity,24,Biodiversity,80,"General agriculture, fishing and forestry sector",AZ
Biodiversity,24,Biodiversity,80,Irrigation and drainage,AI
Biodiversity,24,Biodiversity,80,"Public administration- Agriculture, fishing and forestry",BL
Biodiversity,24,Rural policies and institutions,77,Other industry,YW
Biodiversity,24,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Biodiversity,24,Rural policies and institutions,77,Irrigation and drainage,AI
Biodiversity,24,Rural policies and institutions,77,"Public administration- Agriculture, fishing and forestry",BL
Biodiversity,24,Rural non-farm income generation,76,Other industry,YW
Biodiversity,24,Rural non-farm income generation,76,"General agriculture, fishing and forestry sector",AZ
Biodiversity,24,Rural non-farm income generation,76,Irrigation and drainage,AI
Biodiversity,24,Rural non-farm income generation,76,"Public administration- Agriculture, fishing and forestry",BL
Biodiversity,24,Land administration and management,83,Other industry,YW
Biodiversity,24,Land administration and management,83,"General agriculture, fishing and forestry sector",AZ
Biodiversity,24,Land administration and management,83,Irrigation and drainage,AI
Biodiversity,24,Land administration and management,83,"Public administration- Agriculture, fishing and forestry",BL
Biodiversity,24,Other rural development,79,Other industry,YW
Biodiversity,24,Other rural development,79,"General agriculture, fishing and forestry sector",AZ
Biodiversity,24,Other rural development,79,Irrigation and drainage,AI
Biodiversity,24,Other rural development,79,"Public administration- Agriculture, fishing and forestry",BL
Health system performance,11,Health system performance,67,General public administration sector,BZ
Health system performance,11,Health system performance,67,Banking,FA
Health system performance,11,Health system performance,67,Other social services,JB
Health system performance,11,Health system performance,67,Telecommunications,CT
Health system performance,11,Health system performance,67,Tertiary education,ET
Health system performance,11,Other accountability/anti-corruption,29,General public administration sector,BZ
Health system performance,11,Other accountability/anti-corruption,29,Banking,FA
Health system performance,11,Other accountability/anti-corruption,29,Other social services,JB
Health system performance,11,Other accountability/anti-corruption,29,Telecommunications,CT
Health system performance,11,Other accountability/anti-corruption,29,Tertiary education,ET
Health system performance,11,Improving labor markets,51,General public administration sector,BZ
Health system performance,11,Improving labor markets,51,Banking,FA
Health system performance,11,Improving labor markets,51,Other social services,JB
Health system performance,11,Improving labor markets,51,Telecommunications,CT
Health system performance,11,Improving labor markets,51,Tertiary education,ET
Health system performance,11,Regulation and competition policy,40,General public administration sector,BZ
Health system performance,11,Regulation and competition policy,40,Banking,FA
Health system performance,11,Regulation and competition policy,40,Other social services,JB
Health system performance,11,Regulation and competition policy,40,Telecommunications,CT
Health system performance,11,Regulation and competition policy,40,Tertiary education,ET
Health system performance,11,Education for the knowledge economy,66,General public administration sector,BZ
Health system performance,11,Education for the knowledge economy,66,Banking,FA
Health system performance,11,Education for the knowledge economy,66,Other social services,JB
Health system performance,11,Education for the knowledge economy,66,Telecommunications,CT
Health system performance,11,Education for the knowledge economy,66,Tertiary education,ET
Rural services and infrastructure,100,Rural services and infrastructure,78,Animal production,AJ
Rural services and infrastructure,100,Rural services and infrastructure,78,Central government administration,BC
Pollution management and environmental health,93,Pollution management and environmental health,84,Other industry,YW
Pollution management and environmental health,93,Pollution management and environmental health,84,Public administration- Industry and trade,BT
Pollution management and environmental health,93,Environmental policies and institutions,82,Other industry,YW
Pollution management and environmental health,93,Environmental policies and institutions,82,Public administration- Industry and trade,BT
Climate change,67,Climate change,81,Forestry,AT
Climate change,67,Other rural development,79,Forestry,AT
Infrastructure services for private sector development,43,Infrastructure services for private sector development,39,General transportation sector,TZ
Infrastructure services for private sector development,43,Infrastructure services for private sector development,39,Telecommunications,CT
Infrastructure services for private sector development,43,Infrastructure services for private sector development,39,Health,JA
Infrastructure services for private sector development,43,Infrastructure services for private sector development,39,"General water, sanitation and flood protection sector",WZ
Infrastructure services for private sector development,43,Infrastructure services for private sector development,39,General energy sector,LZ
Infrastructure services for private sector development,43,Trade facilitation and market access,49,General transportation sector,TZ
Infrastructure services for private sector development,43,Trade facilitation and market access,49,Telecommunications,CT
Infrastructure services for private sector development,43,Trade facilitation and market access,49,Health,JA
Infrastructure services for private sector development,43,Trade facilitation and market access,49,"General water, sanitation and flood protection sector",WZ
Infrastructure services for private sector development,43,Trade facilitation and market access,49,General energy sector,LZ
Infrastructure services for private sector development,43,Regional integration,47,General transportation sector,TZ
Infrastructure services for private sector development,43,Regional integration,47,Telecommunications,CT
Infrastructure services for private sector development,43,Regional integration,47,Health,JA
Infrastructure services for private sector development,43,Regional integration,47,"General water, sanitation and flood protection sector",WZ
Infrastructure services for private sector development,43,Regional integration,47,General energy sector,LZ
Infrastructure services for private sector development,43,Rural services and infrastructure,78,General transportation sector,TZ
Infrastructure services for private sector development,43,Rural services and infrastructure,78,Telecommunications,CT
Infrastructure services for private sector development,43,Rural services and infrastructure,78,Health,JA
Infrastructure services for private sector development,43,Rural services and infrastructure,78,"General water, sanitation and flood protection sector",WZ
Infrastructure services for private sector development,43,Rural services and infrastructure,78,General energy sector,LZ
Other social protection and risk management,37,Other social protection and risk management,56,Rural and Inter-Urban Roads and Highways,TI
Other social protection and risk management,37,Other social protection and risk management,56,"General water, sanitation and flood protection sector",WZ
Other social protection and risk management,37,Other social protection and risk management,56,General energy sector,LZ
Other social protection and risk management,37,Other social protection and risk management,56,Other social services,JB
Other social protection and risk management,37,Other social protection and risk management,56,Sub-national government administration,BH
Other social protection and risk management,37,"Micro, Small and Medium Enterprise support",41,Rural and Inter-Urban Roads and Highways,TI
Other social protection and risk management,37,"Micro, Small and Medium Enterprise support",41,"General water, sanitation and flood protection sector",WZ
Other social protection and risk management,37,"Micro, Small and Medium Enterprise support",41,General energy sector,LZ
Other social protection and risk management,37,"Micro, Small and Medium Enterprise support",41,Other social services,JB
Other social protection and risk management,37,"Micro, Small and Medium Enterprise support",41,Sub-national government administration,BH
Other social protection and risk management,37,Participation and civic engagement,57,Rural and Inter-Urban Roads and Highways,TI
Other social protection and risk management,37,Participation and civic engagement,57,"General water, sanitation and flood protection sector",WZ
Other social protection and risk management,37,Participation and civic engagement,57,General energy sector,LZ
Other social protection and risk management,37,Participation and civic engagement,57,Other social services,JB
Other social protection and risk management,37,Participation and civic engagement,57,Sub-national government administration,BH
Other social protection and risk management,37,Gender,59,Rural and Inter-Urban Roads and Highways,TI
Other social protection and risk management,37,Gender,59,"General water, sanitation and flood protection sector",WZ
Other social protection and risk management,37,Gender,59,General energy sector,LZ
Other social protection and risk management,37,Gender,59,Other social services,JB
Other social protection and risk management,37,Gender,59,Sub-national government administration,BH
Participation and civic engagement,12,Participation and civic engagement,57,Central government administration,BC
Participation and civic engagement,12,Participation and civic engagement,57,General public administration sector,BZ
Participation and civic engagement,12,Participation and civic engagement,57,Other social services,JB
Participation and civic engagement,12,Participation and civic engagement,57,Compulsory health finance,BK
Participation and civic engagement,12,Tax policy and administration,28,Central government administration,BC
Participation and civic engagement,12,Tax policy and administration,28,General public administration sector,BZ
Participation and civic engagement,12,Tax policy and administration,28,Other social services,JB
Participation and civic engagement,12,Tax policy and administration,28,Compulsory health finance,BK
Participation and civic engagement,12,Social safety nets,54,Central government administration,BC
Participation and civic engagement,12,Social safety nets,54,General public administration sector,BZ
Participation and civic engagement,12,Social safety nets,54,Other social services,JB
Participation and civic engagement,12,Social safety nets,54,Compulsory health finance,BK
Participation and civic engagement,12,"Poverty strategy, analysis and monitoring",53,Central government administration,BC
Participation and civic engagement,12,"Poverty strategy, analysis and monitoring",53,General public administration sector,BZ
Participation and civic engagement,12,"Poverty strategy, analysis and monitoring",53,Other social services,JB
Participation and civic engagement,12,"Poverty strategy, analysis and monitoring",53,Compulsory health finance,BK
Participation and civic engagement,12,"Public expenditure, financial management and procurement",27,Central government administration,BC
Participation and civic engagement,12,"Public expenditure, financial management and procurement",27,General public administration sector,BZ
Participation and civic engagement,12,"Public expenditure, financial management and procurement",27,Other social services,JB
Participation and civic engagement,12,"Public expenditure, financial management and procurement",27,Compulsory health finance,BK
International financial standards and systems,10,International financial standards and systems,42,General finance sector,FZ
International financial standards and systems,10,International financial standards and systems,42,Banking,FA
International financial standards and systems,10,International financial standards and systems,42,Capital markets,FK
International financial standards and systems,10,International financial standards and systems,42,Non-compulsory pensions and insurance,FD
International financial standards and systems,10,Gender,59,General finance sector,FZ
International financial standards and systems,10,Gender,59,Banking,FA
International financial standards and systems,10,Gender,59,Capital markets,FK
International financial standards and systems,10,Gender,59,Non-compulsory pensions and insurance,FD
International financial standards and systems,10,"Micro, Small and Medium Enterprise support",41,General finance sector,FZ
International financial standards and systems,10,"Micro, Small and Medium Enterprise support",41,Banking,FA
International financial standards and systems,10,"Micro, Small and Medium Enterprise support",41,Capital markets,FK
International financial standards and systems,10,"Micro, Small and Medium Enterprise support",41,Non-compulsory pensions and insurance,FD
International financial standards and systems,10,Regulation and competition policy,40,General finance sector,FZ
International financial standards and systems,10,Regulation and competition policy,40,Banking,FA
International financial standards and systems,10,Regulation and competition policy,40,Capital markets,FK
International financial standards and systems,10,Regulation and competition policy,40,Non-compulsory pensions and insurance,FD
Other rural development,50,Other rural development,79,"Agro-industry, marketing, and trade",YA
Other rural development,50,Other rural development,79,Other Renewable Energy,LR
Other rural development,50,Other rural development,79,Animal production,AJ
Other rural development,50,Other rural development,79,Crops,AH
Other rural development,50,Climate change,81,"Agro-industry, marketing, and trade",YA
Other rural development,50,Climate change,81,Other Renewable Energy,LR
Other rural development,50,Climate change,81,Animal production,AJ
Other rural development,50,Climate change,81,Crops,AH
Conflict prevention and post-conflict reconstruction,100,Conflict prevention and post-conflict reconstruction,58,Rural and Inter-Urban Roads and Highways,TI
Conflict prevention and post-conflict reconstruction,100,Conflict prevention and post-conflict reconstruction,58,Other social services,JB
Conflict prevention and post-conflict reconstruction,100,Conflict prevention and post-conflict reconstruction,58,Public administration- Transportation,BV
Climate change,20,Climate change,81,Non-compulsory pensions and insurance,FD
Climate change,20,Climate change,81,Flood protection,WD
Climate change,20,Natural disaster management,52,Non-compulsory pensions and insurance,FD
Climate change,20,Natural disaster management,52,Flood protection,WD
Climate change,20,Debt management and fiscal sustainability,21,Non-compulsory pensions and insurance,FD
Climate change,20,Debt management and fiscal sustainability,21,Flood protection,WD
Climate change,20,Other environment and natural resources management,86,Non-compulsory pensions and insurance,FD
Climate change,20,Other environment and natural resources management,86,Flood protection,WD
Other accountability/anti-corruption,22,Other accountability/anti-corruption,29,Law and justice,BG
Other accountability/anti-corruption,22,Other accountability/anti-corruption,29,Information technology,CA
Other accountability/anti-corruption,22,Judicial and other dispute resolution mechanisms,32,Law and justice,BG
Other accountability/anti-corruption,22,Judicial and other dispute resolution mechanisms,32,Information technology,CA
Regulation and competition policy,5,Regulation and competition policy,40,Public administration- Financial Sector,BO
Regulation and competition policy,5,Regulation and competition policy,40,Central government administration,BC
Regulation and competition policy,5,Regulation and competition policy,40,General transportation sector,TZ
Regulation and competition policy,5,Regulation and competition policy,40,General energy sector,LZ
Regulation and competition policy,5,Regulation and competition policy,40,Capital markets,FK
Regulation and competition policy,5,Infrastructure services for private sector development,39,Public administration- Financial Sector,BO
Regulation and competition policy,5,Infrastructure services for private sector development,39,Central government administration,BC
Regulation and competition policy,5,Infrastructure services for private sector development,39,General transportation sector,TZ
Regulation and competition policy,5,Infrastructure services for private sector development,39,General energy sector,LZ
Regulation and competition policy,5,Infrastructure services for private sector development,39,Capital markets,FK
Regulation and competition policy,5,Debt management and fiscal sustainability,21,Public administration- Financial Sector,BO
Regulation and competition policy,5,Debt management and fiscal sustainability,21,Central government administration,BC
Regulation and competition policy,5,Debt management and fiscal sustainability,21,General transportation sector,TZ
Regulation and competition policy,5,Debt management and fiscal sustainability,21,General energy sector,LZ
Regulation and competition policy,5,Debt management and fiscal sustainability,21,Capital markets,FK
Regulation and competition policy,5,"Public expenditure, financial management and procurement",27,Public administration- Financial Sector,BO
Regulation and competition policy,5,"Public expenditure, financial management and procurement",27,Central government administration,BC
Regulation and competition policy,5,"Public expenditure, financial management and procurement",27,General transportation sector,TZ
Regulation and competition policy,5,"Public expenditure, financial management and procurement",27,General energy sector,LZ
Regulation and competition policy,5,"Public expenditure, financial management and procurement",27,Capital markets,FK
Rural policies and institutions,31,Rural policies and institutions,77,Crops,AH
Rural policies and institutions,31,Rural policies and institutions,77,"Agro-industry, marketing, and trade",YA
Rural policies and institutions,31,Rural policies and institutions,77,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,31,Rural policies and institutions,77,Animal production,AJ
Rural policies and institutions,31,Rural markets,75,Crops,AH
Rural policies and institutions,31,Rural markets,75,"Agro-industry, marketing, and trade",YA
Rural policies and institutions,31,Rural markets,75,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,31,Rural markets,75,Animal production,AJ
Rural policies and institutions,31,Other rural development,79,Crops,AH
Rural policies and institutions,31,Other rural development,79,"Agro-industry, marketing, and trade",YA
Rural policies and institutions,31,Other rural development,79,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,31,Other rural development,79,Animal production,AJ
"Public expenditure, financial management and procurement",43,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",43,"Public expenditure, financial management and procurement",27,General energy sector,LZ
"Public expenditure, financial management and procurement",43,"Public expenditure, financial management and procurement",27,General public administration sector,BZ
"Public expenditure, financial management and procurement",43,"Public expenditure, financial management and procurement",27,"General agriculture, fishing and forestry sector",AZ
"Public expenditure, financial management and procurement",43,Macroeconomic management,23,Central government administration,BC
"Public expenditure, financial management and procurement",43,Macroeconomic management,23,General energy sector,LZ
"Public expenditure, financial management and procurement",43,Macroeconomic management,23,General public administration sector,BZ
"Public expenditure, financial management and procurement",43,Macroeconomic management,23,"General agriculture, fishing and forestry sector",AZ
"Public expenditure, financial management and procurement",43,Infrastructure services for private sector development,39,Central government administration,BC
"Public expenditure, financial management and procurement",43,Infrastructure services for private sector development,39,General energy sector,LZ
"Public expenditure, financial management and procurement",43,Infrastructure services for private sector development,39,General public administration sector,BZ
"Public expenditure, financial management and procurement",43,Infrastructure services for private sector development,39,"General agriculture, fishing and forestry sector",AZ
"Public expenditure, financial management and procurement",43,Tax policy and administration,28,Central government administration,BC
"Public expenditure, financial management and procurement",43,Tax policy and administration,28,General energy sector,LZ
"Public expenditure, financial management and procurement",43,Tax policy and administration,28,General public administration sector,BZ
"Public expenditure, financial management and procurement",43,Tax policy and administration,28,"General agriculture, fishing and forestry sector",AZ
Environmental policies and institutions,6,Environmental policies and institutions,82,Other industry,YW
Environmental policies and institutions,6,Environmental policies and institutions,82,Public administration- Industry and trade,BT
Environmental policies and institutions,6,Pollution management and environmental health,84,Other industry,YW
Environmental policies and institutions,6,Pollution management and environmental health,84,Public administration- Industry and trade,BT
Export development and competitiveness,100,Export development and competitiveness,45,Rural and Inter-Urban Roads and Highways,TI
Export development and competitiveness,100,Export development and competitiveness,45,General transportation sector,TZ
Water resource management,7,Water resource management,85,Water supply,WC
Water resource management,7,Water resource management,85,"Public administration- Water, sanitation and flood protection",BW
Water resource management,7,Water resource management,85,Flood protection,WD
Water resource management,7,Water resource management,85,Wastewater Treatment and Disposal,WV
Water resource management,7,Rural services and infrastructure,78,Water supply,WC
Water resource management,7,Rural services and infrastructure,78,"Public administration- Water, sanitation and flood protection",BW
Water resource management,7,Rural services and infrastructure,78,Flood protection,WD
Water resource management,7,Rural services and infrastructure,78,Wastewater Treatment and Disposal,WV
Water resource management,7,Climate change,81,Water supply,WC
Water resource management,7,Climate change,81,"Public administration- Water, sanitation and flood protection",BW
Water resource management,7,Climate change,81,Flood protection,WD
Water resource management,7,Climate change,81,Wastewater Treatment and Disposal,WV
Water resource management,7,Natural disaster management,52,Water supply,WC
Water resource management,7,Natural disaster management,52,"Public administration- Water, sanitation and flood protection",BW
Water resource management,7,Natural disaster management,52,Flood protection,WD
Water resource management,7,Natural disaster management,52,Wastewater Treatment and Disposal,WV
Macroeconomic management,21,Macroeconomic management,23,Non-compulsory pensions and insurance,FD
Macroeconomic management,21,Macroeconomic management,23,Central government administration,BC
Macroeconomic management,21,Macroeconomic management,23,Compulsory health finance,BK
Macroeconomic management,21,Macroeconomic management,23,"General agriculture, fishing and forestry sector",AZ
Macroeconomic management,21,Debt management and fiscal sustainability,21,Non-compulsory pensions and insurance,FD
Macroeconomic management,21,Debt management and fiscal sustainability,21,Central government administration,BC
Macroeconomic management,21,Debt management and fiscal sustainability,21,Compulsory health finance,BK
Macroeconomic management,21,Debt management and fiscal sustainability,21,"General agriculture, fishing and forestry sector",AZ
Macroeconomic management,21,"Public expenditure, financial management and procurement",27,Non-compulsory pensions and insurance,FD
Macroeconomic management,21,"Public expenditure, financial management and procurement",27,Central government administration,BC
Macroeconomic management,21,"Public expenditure, financial management and procurement",27,Compulsory health finance,BK
Macroeconomic management,21,"Public expenditure, financial management and procurement",27,"General agriculture, fishing and forestry sector",AZ
Macroeconomic management,21,Tax policy and administration,28,Non-compulsory pensions and insurance,FD
Macroeconomic management,21,Tax policy and administration,28,Central government administration,BC
Macroeconomic management,21,Tax policy and administration,28,Compulsory health finance,BK
Macroeconomic management,21,Tax policy and administration,28,"General agriculture, fishing and forestry sector",AZ
Macroeconomic management,21,Natural disaster management,52,Non-compulsory pensions and insurance,FD
Macroeconomic management,21,Natural disaster management,52,Central government administration,BC
Macroeconomic management,21,Natural disaster management,52,Compulsory health finance,BK
Macroeconomic management,21,Natural disaster management,52,"General agriculture, fishing and forestry sector",AZ
"Public expenditure, financial management and procurement",25,"Public expenditure, financial management and procurement",27,General finance sector,FZ
